التاريخ والوقت,الرابط,النص,ملاحظات
2024-11-27 17:24:21,https://x.com/moazAlsabouh/status/1861823386789335392,"الطيران الروسي من الصبح عم يقصف يا ابن الحلال",رد
2024-11-27 17:26:07,https://x.com/moazAlsabouh/status/1861823833407119523,"المقطع قديم بظن",رد على فيديو إسقاط طائرة
2024-11-27 20:11:19,https://x.com/moazAlsabouh/status/1861865405549072800,"الغلاف متعوب عليه",صورة غلاف العربية
2024-11-28 09:13:01,https://x.com/moazAlsabouh/status/1862062130280751512,"حسو حالهن محور الكون وهيك",
2024-11-28 09:15:08,https://x.com/moazAlsabouh/status/1862062662911217705,"ضحكتني😂",رد على parody بشار
2024-11-28 11:29:12,https://x.com/moazAlsabouh/status/1862096401875780058,"ياحيهم بلكي بحركوا شوي من فوق✊🏼💚",رد على ثوار السويداء
2024-11-28 11:37:55,https://x.com/moazAlsabouh/status/1862098594976665905,"مع بداية العملية كان في خوف من انسحاب...",خريطتان
2024-11-28 11:37:56,https://x.com/moazAlsabouh/status/1862098597421957591,"مع بداية العملية كان في خوف من انسحاب...",رد على نفسه
2024-11-28 11:53:26,https://x.com/moazAlsabouh/status/1862102499403997404,"قتيبة اللواء الايرني اسمه فيلق القدس...",رد على قتيبة ياسين
2024-11-28 11:54:10,https://x.com/moazAlsabouh/status/1862102684888649808,"من محور الكون مارح توقف ضحك",رد على October 7
2024-11-28 11:58:16,https://x.com/moazAlsabouh/status/1862103716230287685,"القناة الرسمية اسمها إدارة العمليات العسكرية",رد على Mohammad
2024-11-28 12:01:43,https://x.com/moazAlsabouh/status/1862104583733907953,"ليكون بدنا رضا الفلسطيزي اذا بدنا نعمل شي؟",رد على Mohammad
2024-11-28 13:05:54,https://x.com/moazAlsabouh/status/1862120734094426608,"تذكرة روحة بلا رجعة عالئودس",خبر مقتل إيراني بحلب
2024-11-28 16:49:36,https://x.com/moazAlsabouh/status/1862177029673693681,"بعتوها لولاد عريان من اولاد نزار لجمال",رد على عمر البم
2024-11-28 17:12:53,https://x.com/moazAlsabouh/status/1862182890949284123,"تخيل انك إ.ر.ه.ا.ب.ي طا.ئ.ف.ي ش.ي.ع.ي...",
2024-11-28 17:16:47,https://x.com/moazAlsabouh/status/1862183872592490675,"قلتلكن صعبة وبتوجع...",صورة
2024-11-28 19:27:24,https://x.com/moazAlsabouh/status/1862428137985822986,"🤣",رد على د.هاوس
2024-11-29 09:56:45,https://x.com/moazAlsabouh/status/1862435521613439233,"المصدر؟",
2024-11-29 09:59:05,https://x.com/moazAlsabouh/status/1862436107939402170,"المصدر؟",
2024-11-29 11:26:18,https://x.com/moazAlsabouh/status/1862458058636427662,"ثقل إيران ومشروع إيران في حلب",
2024-11-29 12:34:31,https://x.com/moazAlsabouh/status/1862475223989145699,"عجل يالله يايوب خدني لحلب...",صورة
2024-11-29 15:25:13,https://x.com/moazAlsabouh/status/1862518182025560417,"سراقب حرة و #معرة_النعمان قاب رصاصتين او أدنى",
2024-11-29 16:19:16,https://x.com/moazAlsabouh/status/1862531785193582993,"ناطرين قصيدة المعرة💚✊🏼",
2024-11-29 16:20:38,https://x.com/moazAlsabouh/status/1862532130393235492,"تسلم عيونك شاعرنا الحر",
2024-11-29 17:42:58,https://x.com/moazAlsabouh/status/1862552851387416679,"✊✊✊",على منشور جو ويلسون
2024-11-29 17:46:38,https://x.com/moazAlsabouh/status/1862553773639356597,"عشت ياحر",
2024-11-29 20:06:23,https://x.com/moazAlsabouh/status/1862588941192306800,"لسا ماحدا تصدر",
2024-11-29 20:06:49,https://x.com/moazAlsabouh/status/1862589051011825790,"بدنا الفيديو",
2024-11-29 21:00:19,https://x.com/moazAlsabouh/status/1862602513360322780,"فيديو طويل لـ @anasaldogheim",فيديو
